No,supplier,barcode,name,quantity,cost,price,alert_quantity,batch_number
477,ASMATHUIIA,1002075,NIKE SHOE INDIA -2-5 - GY BL,1,"2,750.00","4,699.00",0,25102024
478,ASMATHUIIA,1002078,FONZO SHOE INDIA -2-5 - GN GY,1,"2,750.00","4,699.00",0,25102024
479,LIBERTY SHOE - KANDY,1002079,GENTS CHAPPAL-3066,11,645.00,"1,499.00",0,25102024
480,LIBERTY SHOE - KANDY,1002080,GENTS CHAPPAL-3073,2,645.00,"1,499.00",0,25102024
481,LIBERTY SHOE - KANDY,1002082,GENTS TWO STRAP ADIDAD - 2250,9,890.00,"1,999.00",0,25102024
482,LIBERTY SHOE - KANDY,1002083,GENTS SPORT -3650,69,790.00,"1,699.00",0,25102024
483,LIBERTY SHOE - KANDY,1002084,BIG HERO BATA -10,2,790.00,"1,199.00",0,25102024
484,LIBERTY SHOE - KANDY,1002087,F16680S GRILS S  TWO STEP,1,875.00,"1,899.00",0,25102024
486,SATHATH SIR,1002091,845511-02GRY10-L,1,"1,150.00","2,199.00",0,25102024
488,SATHATH SIR,1002101,825001-02BLU,1,900.00,"1,899.00",0,25102024
489,SATHATH SIR,1002102,825001-02BLU-M,2,"1,000.00","1,999.00",0,25102024
490,SATHATH SIR,1002103,825001-02BLU-L,1,"1,100.00","1,999.00",0,22102024
492,SATHATH SIR,1002104,825001-02BLU-XL,2,"1,200.00","2,099.00",0,25102024
494,MAINSOR VKC,1002110,AB SHOE -AB00 - BL,2,900.00,"2,199.00",1,10032024
495,MAINSOR VKC,1002111,AB SHOE -AB00 - BU,2,900.00,"2,199.00",0,25102024
496,MAINSOR VKC,1002112,BIGG KIDS INDIAN LOAFER SHOE -BL,7,"2,300.00","3,999.00",0,25102024
497,MAINSOR VKC,1002113,BIGG KIDS INDIAN LOAFER SHOE -BU,10,"2,300.00","3,999.00",0,25102024
498,MAINSOR VKC,1002114,BIGG KIDS INDIAN LOAFER SHOE -BR,6,"2,300.00","3,999.00",0,25102024
499,MAINSOR VKC,1002115,BIGG KIDS INDIAN LOAFER SHOE -TN,5,"2,300.00","3,999.00",0,25102024
500,MAINSOR VKC,1002118,SUNNY GENTS SNEAKERS SHOE2305-3WT-GY,1,"5,450.00","8,999.00",0,25102024
501,MAINSOR VKC,1002120,SUNNY GENTS SNEAKERS SHOE2305-2WT,1,"5,450.00","8,999.00",0,21102024
502,ASMATHUIIA,1002124,RED BULL NIKE SHOE INDIA- 02 BU,1,"3,650.00","7,399.00",0,25102024
503,ASMATHUIIA,1002129,RED BULL ADIDAS SHOE INDIA- 03 BL,1,"3,650.00","7,399.00",0,25102024
504,ASMATHUIIA,1002131,RED BULL MOTIN SHOE INDIA- 04 GY,1,"3,650.00","7,399.00",0,25102024
506,ASMATHUIIA,1002135,NIKE DEATH SHOE THAILAND - BL,1,"2,950.00","5,999.00",0,25102024
507,ASMATHUIIA,1002137,ABACA INDYN-A 157- PK,1,"2,250.00","3,399.00",0,25102024
508,ASMATHUIIA,1002140,CYBERLADY INDYN-1186- BU,1,"2,250.00","3,399.00",0,25102024
509,ASMATHUIIA,1002141,CYBERLADY INDYN-1186- MR,1,"2,250.00","3,399.00",0,25102024
510,ASMATHUIIA,1002142,CYBERLADY INDYN-1186- GN,1,"2,250.00","3,399.00",0,25102024
511,ASMATHUIIA,1002144,CYBERLADY INDYN-1159- BR GD,1,"2,450.00","3,399.00",0,25102024
512,ASMATHUIIA,1002146,ABACA INDYN-A 302 - BR,1,"2,450.00","3,599.00",1,11032024
513,ASMATHUIIA,1002147,ABACA INDYN-A 009- BL,1,"2,450.00","3,599.00",1,11032024
514,ASMATHUIIA,1002148,ABACA INDYN-A 305- BL BL,1,"2,550.00","3,699.00",1,11032024
515,ASMATHUIIA,1002149,ABACA INDYN-A 188- GY,1,"2,450.00","3,399.00",0,25102024
516,ASMATHUIIA,1002150,ABACA INDYN-A 237- BL,1,"2,250.00","3,399.00",1,11032024
517,ASMATHUIIA,1002151,CYBERLADY INDYN-1194- BL,1,"2,400.00","3,399.00",0,25102024
518,ASMATHUIIA,1002152,ABACA INDYN-A-184- BR,1,"2,300.00","3,399.00",0,25102024
519,ASMATHUIIA,1002153,CYBERLADY INDYN CHAPPAL-1086- BL,1,"2,250.00","3,299.00",0,25102024
520,ASMATHUIIA,1002154,ABACA INDYN CHAPPAL-A-174 - BL,1,"2,250.00","3,299.00",0,25102024
521,ASMATHUIIA,1002155,ABACA INDYN CHAPPAL-A-174 - BL BG,1,"2,250.00","3,299.00",0,25102024
522,ASMATHUIIA,1002156,ABACA INDYN CHAPPAL-A-172 - BU,1,"2,300.00","3,299.00",0,25102024
523,ASMATHUIIA,1002157,ABACA INDYN CHAPPAL-A-172 - BR,1,"2,300.00","3,299.00",0,25102024
524,ASMATHUIIA,1002158,CYBERLADY INDYN CHAPPAL-1210- PK,1,"2,250.00","3,299.00",0,25102024
525,ASMATHUIIA,1002160,CYBERLADY INDYN CHAPPAL-1074 GN,1,"2,250.00","3,299.00",0,25102024
526,ASMATHUIIA,1002161,CYBERLADY INDYN CHAPPAL-1074 BL,1,"2,250.00","3,299.00",0,25102024
527,ASMATHUIIA,1002162,CYBERLADY INDYN CHAPPAL-1197 PL,1,"2,400.00","3,399.00",0,25102024
528,ASMATHUIIA,1002163,CYBERLADY INDYN -1250 BR,1,"2,400.00","3,499.00",1,11032024
529,ASMATHUIIA,1002164,ABACA INDYN -A 010 -  BL,1,"2,450.00","3,499.00",1,11032024
530,ASMATHUIIA,1002165,ABACA INDYN -A 003 -  BL,1,"2,450.00","3,499.00",1,11032024
531,ASMATHUIIA,1002166,ABACA INDYN -A 003 -  BR,1,"2,450.00","3,499.00",1,11032024
532,ASMATHUIIA,1002167,ABACA INDYN -A 003 -  PK,1,"2,450.00","3,499.00",1,11032024
