No,supplier,barcode,name,quantity,cost,price,alert_quantity,batch_number
697,NAZAR NANA - OD,1002482,WALKAROO BT 4274,2,"1,500.00","2,999.00",0,26102024
699,NAZAR NANA - OD,1002484,WALKAROO BX 1260 ,1,"1,500.00","2,699.00",1,09102024
700,NAZAR NANA - OD,1002485,WALKAROO BX 1021,3,"1,500.00","2,699.00",1,09102024
701,NAZAR NANA - OD,1002486,WALKAROO WG 5007,4,"1,500.00","2,699.00",1,09102024
703,NAZAR NANA - OD,1002488,WALKAROO BX 2654 GY,2,"1,500.00","2,999.00",1,09102024
704,NAZAR NANA - OD,1002489,WALKAROO BX 2654 PK,3,"1,500.00","2,999.00",1,09102024
707,NATURAL WONDERS - AHBITH,3412245810028,ADIDAS PURE - 50ML,1,850.00,"1,090.00",5,10022023
708,SILVER SHIELD - SOCKS,4005074438182,KUNERT MAN SOCKS,31,200.00,499.00,0,26102024
709,ENCHANTEUR - UTN TRADING,4035773011027,YARDLEY EQUITY BODY SPRAY 150ML,1,"1,270.75","1,495.00",1,08072023
711,SILVER SHIELD - SOCKS,4044019870120,BLACK SOCKS - L,29,180.00,399.00,0,26102024
713,FAITH ENTERPRISES - 21 CREAM,4260046679080,CREME21 BODY MILK 250ML,2,"1,360.00","1,600.00",5,10022023
714,FAITH ENTERPRISES - 21 CREAM,4260046679240,CREME21 ALL DAY CREAM 50ML,1,382.50,450.00,5,10022023
715,FAITH ENTERPRISES - 21 CREAM,4260046679363,CREME21 MOISTURIZING CREAM 50ML,1,382.50,450.00,5,10022023
716,FAITH ENTERPRISES - 21 CREAM,4260046679400,CREME21 MOISTURIZING CREAM 150ML,1,841.50,"1,350.00",5,10022023
717,JANET NISHAN,4791097043549,GREEN GARDEN PERFUMED DEODARANT 50ML,1,680.00,800.00,0,26022024
720,JANET NISHAN,4791097043570,LILAC MIST PERFUMED DEODARANT 50ML,1,680.00,800.00,0,26022024
721,JANET NISHAN,4791097043648,GREEN GARDEN PERFUMED DEODARANT 30ML,4,450.50,530.00,0,26022024
722,JANET NISHAN,4791097043679,LILAC MIST PERFUMED DEODARANT 30ML,1,450.50,530.00,0,26022024
724,JANET NISHAN,4791097046724,MARS XTREME FOR MEN 50ML,1,646.00,800.00,1,26022024
727,FAITH ENTERPRISES - 21 CREAM,4793001024378,GLOWING BODY LOTION 275ML,5,483.80,590.00,0,10022023
728,POLO ,4793001024439,FACE WASH TEA TREE 100ML,4,286.00,390.00,1,22032023
729,POLO ,4793001024446,FACE WASH GOLD 100ML,2,366.00,470.00,1,22032023
730,POLO ,4793001024453,FACE WASH TURMERIC 100ML,1,286.00,390.00,1,22032023
731,KAPPER KKY,4793001255055,MALTEX UMBRELLA LADIES,2,"1,170.40","1,540.00",0,11022023
732,SUNBERELLA CO PVT-LTD KISHO,4796007571204,NORMAL LARGE - PRINTED1001,4,855.50,"1,180.00",0,11022023
733,SUNBERELLA CO PVT-LTD KISHO,4796007571211,NORMAL LARGE - SILVER1008,5,870.00,"1,200.00",0,11022023
734,SUNBERELLA CO PVT-LTD KISHO,4796007571235,SUPER MINI - PRINTED2001,12,"1,015.00","1,400.00",0,11022023
735,MY FRESH,4796011310011,MY FRESH GEL STRAWBERRY 50G,1,212.50,250.00,0,28102024
736,MY FRESH,4796011310028,MY FRESH GEL ENGLISHA ROSE 50G,3,212.50,250.00,0,28102024
737,MY FRESH,4796011310035,MY FRESH GEL LAVENDER 50G,2,204.00,240.00,0,10022023
738,MY FRESH,4796011310042,MY FRESH GEL JASMINE 50G,3,204.00,240.00,1,10012024
739,MY FRESH,4796011310059,MY FRESH STRAWBERRY 100G,3,331.50,390.00,0,10022023
740,MY FRESH,4796011310066,MY FRESH ENGLISH ROSE 100G,2,331.50,390.00,0,10022023
741,MY FRESH,4796011310073,MY FRESH LAVENDER 100G,1,331.50,390.00,1,10022023
742,MY FRESH,4796011310080,MY FRESH LEMON 100G,3,331.50,390.00,1,10022023
743,MY FRESH,4796011310479,MY FRESH GEL JASMINE 50G,3,212.50,250.00,0,28102024
744,BELLOSE LANKA PVT LTD,4796015292764,ROMANTRA VENUST,1,"1,194.00","1,990.00",0,08052023
746,BELLOSE LANKA PVT LTD,4796015293167,DEARO COOL,1,586.50,690.00,0,08052023
747,BELLOSE LANKA PVT LTD,4796015293174,DEARO GUARDIAN,3,586.50,690.00,0,08052023
748,BELLOSE LANKA PVT LTD,4796015293181,DEARO FRESH PETALS,3,586.50,690.00,0,26032024
749,BELLOSE LANKA PVT LTD,4796015293198,DEARO TEEN,2,586.50,690.00,0,08052023
750,BELLOSE LANKA PVT LTD,4796015293204,DEARO BOOSTER,5,586.50,690.00,0,08052023
751,BELLOSE LANKA PVT LTD,4796015293211,DEARO PETALS,3,368.00,460.00,0,11052023
752,BELLOSE LANKA PVT LTD,4796015293228,DEARO GUARDIAN,2,374.00,440.00,1,11052023
753,BELLOSE LANKA PVT LTD,4796015293235,DEARO PETALS,6,374.00,440.00,0,11052023
754,BELLOSE LANKA PVT LTD,4796015293242,DEARO COOL,1,368.00,460.00,1,11052023
755,BELLOSE LANKA PVT LTD,4796015293259,DEARO TEEN,9,374.00,440.00,0,11052023
756,BELLOSE LANKA PVT LTD,4796015293266,DEARO BOOSTER,5,374.00,440.00,0,11052023
758,BELLOSE LANKA PVT LTD,4796015293655,ROMANTRA AMBERLY,1,"1,512.00","1,890.00",1,05042023
760,BELLOSE LANKA PVT LTD,4796015293679,ROMANTRA MAGNIFIQUE,6,"1,254.00","2,090.00",0,11052023
761,BELLOSE LANKA PVT LTD,4796015293686,"ROMANTRA L, AMOUR",1,"1,592.00","1,990.00",1,05042023
762,BELLOSE LANKA PVT LTD,4796015294751,DEARO MEN,1,374.00,440.00,0,26032024
766,BELLOSE LANKA PVT LTD,4796015294805,VICOLE LAVENDER DREAMS 50ML,2,833.00,980.00,0,26032024
769,BELLOSE LANKA PVT LTD,4796015294836,VICOLE MIDNIGHT MOON 50ML,2,833.00,980.00,1,26032024
770,SILVER SHIELD - SOCKS,4796021170162,BLACK SOCKS - M,36,200.00,399.00,0,26102024
771,SILVER SHIELD - SOCKS,4796021180161,TWO TONE SOCKS - S,43,180.00,350.00,0,26102024
772,SILVER SHIELD - SOCKS,4796021190160,TWO TONE SOCKS - CM,29,180.00,399.00,0,26102024
773,SITHU GARMENT,4796021800052,MINI BY CINDY 0-3,5,450.00,699.00,5,14022023
774,SITHU GARMENT,4796021800069,MINI BY CINDY 3-6,5,450.00,699.00,5,14022023
775,SITHU GARMENT,4796021800076,MINI BY CINDY 6-9,7,450.00,699.00,5,14022023
776,SITHU GARMENT,4796021800083,MINI BY CINDY 9-12,6,450.00,699.00,5,1402203
777,MY FRESH,4796026930082,CENTURY SHOE LIQUID BLACK - 75ML,7,331.50,390.00,0,29102024
778,MY FRESH,4796026930105,CENTURY SHOE LIQUID CANVAS WHITE - 120G,5,127.50,150.00,0,11022023
779,MY FRESH,4796026930129,CENTURY SHOE CARE DARK TAN - 36G,6,289.00,340.00,0,26082024
780,MY FRESH,4796026930136,CENTURY SHOE CARE BLACK - 36G,23,289.00,340.00,0,11022023
783,MY FRESH,4796026930174,MY FRESH LAVENDERA 150ML,1,272.00,320.00,0,26102024
784,MY FRESH,4796026930181,MY FRESH JASMINE 150ML,2,272.00,320.00,0,26102024
786,MY FRESH,4796026930204,MY FRESH JASMINE 45GA,3,212.50,250.00,0,26082024
787,MY FRESH,4796026930211,MY FRESH LAVENDER 45GA,1,212.50,250.00,0,26082024
788,MY FRESH,4796026930228,MY FRESH LOTUS 45GA,1,212.50,250.00,1,10012023
789,MY FRESH,4796026930235,SHOE BRUSM LARGE,11,204.00,240.00,0,26102024
790,MY FRESH,4796026930334,MY FRESH STRAWBERRY 45GA,2,212.50,250.00,1,10012024
791,MY FRESH,4796026930389,HAND WASH,2,484.50,570.00,1,06032023
792,MY FRESH,4796026930518,GLASS CLEANER,2,408.00,480.00,2,06032023
793,MY FRESH,4796026930525,CENTURY SHOE LIQUID BROWN - 40ML,4,221.00,260.00,0,26102024
794,MY FRESH,4796026930631,SHOE BRUSM SMALL,10,161.50,190.00,0,26102024
795,MY FRESH,4796026930723,CENTURY SHOE LIQUID WHITE - 40ML,23,221.00,260.00,0,29102024
796,MY FRESH,4796026930730,CENTURY SHOE LIQUID BLACK - 40ML,14,221.00,260.00,0,14092024
797,MY FRESH,4796026930952,CENTURY SHOE CARE BLACK - 23G,15,221.00,260.00,0,26082024
798,MY FRESH,4796026931003,MY FRESH POCKET ECO PINK,1,212.50,250.00,0,26082024
803,NATURAL WONDERS - AHBITH,5414666003292,PURE BLUE -100ML,1,"1,850.00","2,250.00",5,10022023
804,SILVER SHIELD - SOCKS,5806952169025,SPORTS SOCKS,29,300.00,599.00,0,26102024
805,KAPPER KKY,6291100635689,BLUE WOMEN -50MLA,1,550.00,"1,100.00",0,10022023
807,ENCHANTEUR - UTN TRADING,6297000442037,YARDLEY ARTHUR -150ML,1,"1,200.00","1,495.00",5,1022023
808,ENCHANTEUR - UTN TRADING,6297000442044,YARDLEY NAVY BODY SPRAY 150ML,1,"1,270.75","1,495.00",1,08072023
809,ENCHANTEUR - UTN TRADING,6297000442068,YARDLEY NAVY  PERFUMES 100ML,1,"4,165.00","4,900.00",1,08072023
810,SILVER SHIELD - SOCKS,6920951300018,SPORT BOYS SOCKS,47,250.00,499.00,0,26102024
811,SILVER SHIELD - SOCKS,6920951381079,SPORT  SOCKS BL,2,170.00,499.00,0,26102024
813,SILVER SHIELD - SOCKS,6933413466184,BALALA KID S SOCKS,14,250.00,499.00,0,26102024
814,SILVER SHIELD - SOCKS,6933413488070,BALALA SOCKS 9-15,2,250.00,399.00,0,26102024
815,SILVER SHIELD - SOCKS,6933413488087,BALALA CARS SOCKS,6,250.00,399.00,0,26102024
816,SILVER SHIELD - SOCKS,6935268509238,FASHION GIRLC COCKS  - 1-3,10,250.00,399.00,0,26102024
817,SILVER SHIELD - SOCKS,6937659210556,XIAOSHUAYU COTTON SOCKS,12,220.00,499.00,0,26102024
818,SILVER SHIELD - SOCKS,6937659211850,XIAOSHUAYU COTTON SOCKS,7,220.00,499.00,0,26102024
819,SILVER SHIELD - SOCKS,6937659211874,XIAOSHUAYU COTTON SOCKS,6,220.00,499.00,0,26102024
820,SILVER SHIELD - SOCKS,6939953500098,BABY SOCKS - 0-6,2,475.00,649.00,0,26102024
821,SILVER SHIELD - SOCKS,6939953530057,ZHONGYIGHUI SOCKS - 3-5,10,280.00,499.00,0,26102024
822,SILVER SHIELD - SOCKS,6970174118266,JIYUNGUO SOCKS,2,330.00,599.00,0,26102024
823,KAPPER KKY,777156156713,DIAMOND KIDS ,6,"1,092.00","1,400.00",5,11022023
824,KAPPER KKY,8149531586927,DIAMOND LADIES,1,959.40,"1,230.00",5,11022023
826,KAPPER KKY,8149531587047,DIAMOND BOYS L,1,"1,419.60","1,820.00",5,11022023
827,KAPPER KKY,8149531587078,DIAMOND KIDS ,2,904.80,"1,160.00",5,11022023
830,KAPPER KKY,8439627583344,MUSTANG A 22ML,1,350.00,499.00,1,17052023
834,POLO ,8718719850008,POLO SPORTS MEN DEO 175ML-RED,1,"1,805.00","2,390.00",0,22032023
835,POLO ,8718719850015,POLO SPORTS MEN DEO 175ML-WHITE,3,"1,805.00","2,390.00",1,22032023
836,POLO ,8718719850022,POLO SPORTS MEN DEO 175ML-BLUE,4,"1,805.00","2,390.00",0,22032023
837,POLO ,8718719850039,POLO SPORTS MEN DEO 175ML-BLACK,2,"1,805.00","2,390.00",0,22032023
838,POLO ,8718719850244,POLO WOMEN DEO 150ML-ORANGE,1,"1,705.00","2,290.00",1,22032023
839,POLO ,8718719850251,POLO WOMEN DEO 150ML-PINK,2,"1,705.00","2,290.00",1,22032023
840,POLO ,8718719850268,POLO WOMEN DEO 150ML-YELLOW,1,"1,705.00","2,290.00",0,22032023
841,POLO ,8718719850275,POLO WOMEN DEO 150ML-BLUE,1,"1,705.00","2,290.00",0,22032023
845,ENCHANTEUR - UTN TRADING,8888202018663,ENCH TALC CHARMING 50G,1,331.50,390.00,1,08072023
846,ENCHANTEUR - UTN TRADING,8888202018670,ENCH TALC ROMANTIC 50G,2,331.50,390.00,1,08072023
850,ENCHANTEUR - UTN TRADING,8888202032430,ENCHANTEUR BODY LOTION RAMANTIC 200ML,1,850.00,"1,060.00",5,10022023
851,ENCHANTEUR - UTN TRADING,8888202032447,ENCHANTEUR BODY LOTION ROMANTIC 100ML,1,646.00,760.00,1,08072023
852,ENCHANTEUR - UTN TRADING,8888202034588,ENCHANTEUR BODY LOTION ALLWUINE 100ML,1,400.00,535.00,5,10202023
853,ENCHANTEUR - UTN TRADING,8888202035165,ENCHANTEUR ENTICING -75ML,1,650.00,890.00,5,10022023
855,ENCHANTEUR - UTN TRADING,8888202052780,ENCH TALC ENTICING 50G,2,331.50,390.00,1,08072023
860,ENCHANTEUR - UTN TRADING,8992856895935,ENCH EDC TREASURE 100ML,2,701.25,825.00,1,08072023
862,ENCHANTEUR - UTN TRADING,8992856896703,ENCH EDC ROMANTIC 100ML,1,701.25,825.00,1,08072023
863,ENCHANTEUR - UTN TRADING,8992856896710,ENCH EDC CHARMING 100ML,1,701.25,825.00,1,08072023
864,MIRSHATH AB KKY,GF020806,DSI GENTS BEAT BATA,1,671.16,799.00,0,28102024
865,MIRSHATH AB KKY,GF021006,DSI LADIES BEAT BATA,2,671.16,799.00,0,28102024
867,KAPPER KKY,NC009208,ANSEL BLACK SHOE,2,"1,401.75","1,869.00",5,12022023
874,ANSEL NIZAMDEEN KKY,NF00410300,ANSEL NF0041 BLACK-3,2,"1,874.25","2,499.00",1,07022024
875,ANSEL NIZAMDEEN KKY,NF00420800,ANSEL NF0042 BLACK-08,1,"1,649.25","2,199.00",1,07022024
876,ANSEL NIZAMDEEN KKY,NF00420900,ANSEL NF0042 BLACK-09,4,"1,724.25","2,299.00",1,07022024
877,ANSEL NIZAMDEEN KKY,NF00421000,ANSEL NF0042 BLACK-10,1,"1,724.25","2,299.00",1,0702024
